city,year,weekofyear,total_cases
sj,1992,2,104
sj,1992,3,90
sj,1992,4,85
sj,1992,5,55
sj,1992,6,53
sj,1992,7,65
sj,1992,8,33
sj,1992,9,38
sj,1992,10,59
sj,1992,11,40
sj,1992,12,37
sj,1992,13,29
sj,1992,14,30
sj,1992,15,30
sj,1992,16,28
sj,1992,17,23
sj,1992,18,24
sj,1992,19,29
sj,1992,20,26
sj,1992,21,23
sj,1992,22,20
sj,1992,23,19
sj,1992,24,20
sj,1992,25,26
sj,1992,26,29
sj,1992,27,31
sj,1992,28,28
sj,1992,29,26
sj,1992,30,32
sj,1992,31,35
sj,1992,32,33
sj,1992,33,30
sj,1992,34,52
sj,1992,35,59
sj,1992,36,67
sj,1992,37,65
sj,1992,38,74
sj,1992,39,70
sj,1992,40,61
sj,1992,41,53
sj,1992,42,76
sj,1992,43,61
sj,1992,44,57
sj,1992,45,44
sj,1992,46,34
sj,1992,47,47
sj,1992,48,60
sj,1992,49,60
sj,1992,50,53
sj,1992,51,36
sj,1992,52,31
sj,1993,1,32
sj,1993,2,28
sj,1993,3,33
sj,1993,4,33
sj,1993,5,35
sj,1993,6,22
sj,1993,7,13
sj,1993,8,13
sj,1993,9,21
sj,1993,10,17
sj,1993,11,11
sj,1993,12,8
sj,1993,13,8
sj,1993,14,6
sj,1993,15,6
sj,1993,16,7
sj,1993,17,12
sj,1993,18,17
sj,1993,19,10
sj,1993,20,10
sj,1993,21,18
sj,1993,22,19
sj,1993,23,12
sj,1993,24,22
sj,1993,25,12
sj,1993,26,21
sj,1993,27,18
sj,1993,28,16
sj,1993,29,16
sj,1993,30,22
sj,1993,31,17
sj,1993,32,25
sj,1993,33,23
sj,1993,34,12
sj,1993,35,25
sj,1993,36,28
sj,1993,37,27
sj,1993,38,18
sj,1993,39,23
sj,1993,40,23
sj,1993,41,29
sj,1993,42,38
sj,1993,43,36
sj,1993,44,43
sj,1993,45,46
sj,1993,46,31
sj,1993,47,25
sj,1993,48,40
sj,1993,49,31
sj,1993,50,38
sj,1993,51,30
sj,1994,52,22
sj,1994,1,31
sj,1994,2,26
sj,1994,3,35
sj,1994,4,36
sj,1994,5,39
sj,1994,6,25
sj,1994,7,31
sj,1994,8,37
sj,1994,9,33
sj,1994,10,25
sj,1994,11,24
sj,1994,12,18
sj,1994,13,23
