city,year,weekofyear,total_cases
iq,2010,26,6
iq,2010,27,6
iq,2010,28,11
iq,2010,29,2
iq,2010,30,6
iq,2010,31,5
iq,2010,32,7
iq,2010,33,6
iq,2010,34,8
iq,2010,35,5
iq,2010,36,6
iq,2010,37,9
iq,2010,38,10
iq,2010,39,9
iq,2010,40,5
iq,2010,41,13
iq,2010,42,6
iq,2010,43,8
iq,2010,44,8
iq,2010,45,4
iq,2010,46,5
iq,2010,47,4
iq,2010,48,7
iq,2010,49,6
iq,2010,50,6
iq,2010,51,6
iq,2011,52,6
iq,2011,1,15
iq,2011,2,4
iq,2011,3,5
iq,2011,4,9
iq,2011,5,4
iq,2011,6,11
iq,2011,7,5
iq,2011,8,6
iq,2011,9,6
iq,2011,10,7
iq,2011,11,7
iq,2011,12,9
iq,2011,13,7
iq,2011,14,7
iq,2011,15,6
iq,2011,16,6
iq,2011,17,15
iq,2011,18,7
iq,2011,19,2
iq,2011,20,6
iq,2011,21,3
iq,2011,22,11
iq,2011,23,9
iq,2011,24,12
iq,2011,25,2
iq,2011,26,36
iq,2011,27,15
iq,2011,28,3
iq,2011,29,8
iq,2011,30,2
iq,2011,31,7
iq,2011,32,9
iq,2011,33,7
iq,2011,34,9
iq,2011,35,11
iq,2011,36,6
iq,2011,37,10
iq,2011,38,6
iq,2011,39,6
iq,2011,40,2
iq,2011,41,3
iq,2011,42,7
iq,2011,43,11
iq,2011,44,7
iq,2011,45,6
iq,2011,46,10
iq,2011,47,4
iq,2011,48,7
iq,2011,49,7
iq,2011,50,12
iq,2011,51,9
iq,2012,52,9
iq,2012,1,4
iq,2012,2,7
iq,2012,3,7
iq,2012,4,5
iq,2012,5,13
iq,2012,6,3
iq,2012,7,4
iq,2012,8,6
iq,2012,9,6
iq,2012,10,6
iq,2012,11,11
iq,2012,12,6
iq,2012,13,4
iq,2012,14,7
iq,2012,15,5
iq,2012,16,11
iq,2012,17,5
iq,2012,18,9
iq,2012,19,5
iq,2012,20,8
iq,2012,21,4
iq,2012,22,7
iq,2012,23,7
iq,2012,24,7
iq,2012,25,6
iq,2012,26,2
iq,2012,27,4
iq,2012,28,6
iq,2012,29,9
iq,2012,30,3
iq,2012,31,5
iq,2012,32,5
iq,2012,33,7
iq,2012,34,5
iq,2012,35,7
iq,2012,36,7
iq,2012,37,6
iq,2012,38,6
iq,2012,39,7
iq,2012,40,4
iq,2012,41,5
iq,2012,42,6
iq,2012,43,3
iq,2012,44,3
iq,2012,45,7
iq,2012,46,6
iq,2012,47,14
iq,2012,48,4
iq,2012,49,5
iq,2012,50,7
iq,2012,51,7
iq,2013,1,14
iq,2013,2,5
iq,2013,3,4
iq,2013,4,3
iq,2013,5,6
iq,2013,6,8
iq,2013,7,6
iq,2013,8,4
iq,2013,9,11
iq,2013,10,7
iq,2013,11,4
iq,2013,12,11
iq,2013,13,7
iq,2013,14,3
iq,2013,15,6
iq,2013,16,7
iq,2013,17,6
iq,2013,18,3
iq,2013,19,6
iq,2013,20,2
iq,2013,21,5
iq,2013,22,4
iq,2013,23,9
iq,2013,24,5
iq,2013,25,4
iq,2013,26,7
