city,year,weekofyear,total_cases
sj,2008,18,4
sj,2008,19,7
sj,2008,20,16
sj,2008,21,16
sj,2008,22,13
sj,2008,23,28
sj,2008,24,6
sj,2008,25,19
sj,2008,26,38
sj,2008,27,58
sj,2008,28,24
sj,2008,29,25
sj,2008,30,45
sj,2008,31,58
sj,2008,32,28
sj,2008,33,56
sj,2008,34,45
sj,2008,35,24
sj,2008,36,49
sj,2008,37,41
sj,2008,38,75
sj,2008,39,64
sj,2008,40,105
sj,2008,41,48
sj,2008,42,51
sj,2008,43,67
sj,2008,44,52
sj,2008,45,50
sj,2008,46,36
sj,2008,47,12
sj,2008,48,40
sj,2008,49,32
sj,2008,50,36
sj,2008,51,25
sj,2008,52,25
sj,2009,1,30
sj,2009,2,32
sj,2009,3,35
sj,2009,4,27
sj,2009,5,24
sj,2009,6,20
sj,2009,7,12
sj,2009,8,17
sj,2009,9,23
sj,2009,10,18
sj,2009,11,9
sj,2009,12,11
sj,2009,13,13
sj,2009,14,6
sj,2009,15,11
sj,2009,16,6
sj,2009,17,12
sj,2009,18,8
sj,2009,19,11
sj,2009,20,12
sj,2009,21,6
sj,2009,22,19
sj,2009,23,1
sj,2009,24,17
sj,2009,25,19
sj,2009,26,19
sj,2009,27,24
sj,2009,28,34
sj,2009,29,27
sj,2009,30,74
sj,2009,31,44
sj,2009,32,73
sj,2009,33,52
sj,2009,34,40
sj,2009,35,73
sj,2009,36,55
sj,2009,37,51
sj,2009,38,51
sj,2009,39,33
sj,2009,40,72
sj,2009,41,76
sj,2009,42,70
sj,2009,43,65
sj,2009,44,62
sj,2009,45,70
sj,2009,46,35
sj,2009,47,57
sj,2009,48,37
sj,2009,49,76
sj,2009,50,42
sj,2009,51,40
sj,2009,52,22
sj,2010,53,29
sj,2010,1,26
sj,2010,2,45
sj,2010,3,32
sj,2010,4,30
sj,2010,5,31
sj,2010,6,20
sj,2010,7,12
sj,2010,8,18
sj,2010,9,19
sj,2010,10,14
sj,2010,11,14
sj,2010,12,12
sj,2010,13,12
sj,2010,14,8
sj,2010,15,15
sj,2010,16,7
sj,2010,17,5
sj,2010,18,15
sj,2010,19,7
sj,2010,20,9
sj,2010,21,3
sj,2010,22,11
sj,2010,23,12
sj,2010,24,17
sj,2010,25,13
sj,2010,26,6
sj,2010,27,13
sj,2010,28,25
sj,2010,29,24
sj,2010,30,16
sj,2010,31,42
sj,2010,32,36
sj,2010,33,54
sj,2010,34,96
sj,2010,35,27
sj,2010,36,51
sj,2010,37,41
sj,2010,38,41
sj,2010,39,78
sj,2010,40,64
sj,2010,41,47
sj,2010,42,85
sj,2010,43,56
sj,2010,44,42
sj,2010,45,42
sj,2010,46,40
sj,2010,47,39
sj,2010,48,63
sj,2010,49,37
sj,2010,50,39
sj,2010,51,24
sj,2011,52,68
sj,2011,1,13
sj,2011,2,19
sj,2011,3,37
sj,2011,4,27
sj,2011,5,23
sj,2011,6,22
sj,2011,7,17
sj,2011,8,11
sj,2011,9,20
sj,2011,10,17
sj,2011,11,14
sj,2011,12,28
sj,2011,13,10
sj,2011,14,17
sj,2011,15,12
sj,2011,16,8
sj,2011,17,5
sj,2011,18,15
sj,2011,19,10
sj,2011,20,5
sj,2011,21,8
sj,2011,22,17
sj,2011,23,12
sj,2011,24,8
sj,2011,25,31
sj,2011,26,4
sj,2011,27,16
sj,2011,28,14
sj,2011,29,21
sj,2011,30,40
sj,2011,31,21
sj,2011,32,9
sj,2011,33,44
sj,2011,34,52
sj,2011,35,48
sj,2011,36,67
sj,2011,37,47
sj,2011,38,25
sj,2011,39,47
sj,2011,40,17
sj,2011,41,48
sj,2011,42,61
sj,2011,43,20
sj,2011,44,44
sj,2011,45,50
sj,2011,46,39
sj,2011,47,46
sj,2011,48,88
sj,2011,49,28
sj,2011,50,23
sj,2011,51,13
sj,2012,52,67
sj,2012,1,24
sj,2012,2,19
sj,2012,3,26
sj,2012,4,34
sj,2012,5,27
sj,2012,6,31
sj,2012,7,11
sj,2012,8,17
sj,2012,9,37
sj,2012,10,18
sj,2012,11,27
sj,2012,12,13
sj,2012,13,13
sj,2012,14,7
sj,2012,15,6
sj,2012,16,9
sj,2012,17,14
sj,2012,18,11
sj,2012,19,9
sj,2012,20,12
sj,2012,21,7
sj,2012,22,15
sj,2012,23,13
sj,2012,24,18
sj,2012,25,21
sj,2012,26,23
sj,2012,27,71
sj,2012,28,13
sj,2012,29,28
sj,2012,30,40
sj,2012,31,49
sj,2012,32,89
sj,2012,33,51
sj,2012,34,58
sj,2012,35,47
sj,2012,36,60
sj,2012,37,51
sj,2012,38,61
sj,2012,39,53
sj,2012,40,37
sj,2012,41,68
sj,2012,42,40
sj,2012,43,43
sj,2012,44,127
sj,2012,45,70
sj,2012,46,55
sj,2012,47,58
sj,2012,48,53
sj,2012,49,90
sj,2012,50,40
sj,2012,51,23
sj,2013,1,15
sj,2013,2,20
sj,2013,3,41
sj,2013,4,27
sj,2013,5,52
sj,2013,6,17
sj,2013,7,18
sj,2013,8,14
sj,2013,9,19
sj,2013,10,20
sj,2013,11,10
sj,2013,12,12
sj,2013,13,11
sj,2013,14,9
sj,2013,15,7
sj,2013,16,7
sj,2013,17,12
