city;year;weekofyear;week_start_date;ndvi_ne;ndvi_nw;ndvi_se;ndvi_sw;precipitation_amt_mm;reanalysis_air_temp_k;reanalysis_avg_temp_k;reanalysis_dew_point_temp_k;reanalysis_max_air_temp_k;reanalysis_min_air_temp_k;reanalysis_precip_amt_kg_per_m2;reanalysis_relative_humidity_percent;reanalysis_sat_precip_amt_mm;reanalysis_specific_humidity_g_per_kg;reanalysis_tdtr_k;station_avg_temp_c;station_diur_temp_rng_c;station_max_temp_c;station_min_temp_c;station_precip_mm
sj;1992;1;01/01/1992;1251;1578667;1852833;1813667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sj;1992;2;08/01/1992;1008333;73575;1387143;1127857;20085;297913000000;298121000000;294457000000;3004;2961;183;813;20085;158786000000;23;256571000000;75;306;206;582
sj;1992;3;15/01/1992;2224;2299;1984571;1994143;312;297339000000;297486000000;294467000000;3002;2956;198;841171000000;312;158329000000;185714000000;254714000000;617143000000;311;217;323
sj;1992;4;22/01/1992;1225333;13105;1888429;1688714;0;297091000000;297336000000;293021000000;2995;2956;511;782914000000;0;144829000000;235714000000;248571000000;744286000000;306;200;13
sj;1992;5;29/01/1992;0;483;1736714;1919286;0;29742;29755;292719000000;2993;2955;65;7522;0;141857000000;244286000000;248;658571000000;289;200;92
sj;1992;6;05/02/1992;1016;846;1117167;1879571;0;29692;297129000000;292617000000;3007;2945;162;770586000000;0;141229000000;34;247143000000;735714000000;306;200;30
sj;1992;7;12/02/1992;0;1305;1957429;1788571;0;297799000000;298057000000;29465;3002;2953;201;828757000000;0;1606;22;260286000000;657143000000;322;200;13
sj;1992;8;19/02/1992;0;1844667;1946143;2030571;0;297899000000;298107000000;293629000000;3001;2963;44;772957000000;0;150129000000;258571000000;257571000000;738571000000;339;217;89
sj;1992;9;26/02/1992;10705;815;1652429;1630571;0;297473000000;297679000000;292967000000;2993;2963;144;760371000000;0;143814000000;241429000000;252857000000;617143000000;294;217;160
sj;1992;10;04/03/1992;0;18218;1910857;1928571;0;297651000000;2978;293317000000;2998;2957;55;768786000000;0;147014000000;231429000000;256571000000;781429000000;311;206;29
sj;1992;11;11/03/1992;8685;9015;128;1551;2322;297634000000;297786000000;29354;2996;2961;126;780571000000;2322;149443000000;251429000000;257857000000;775714000000;317;217;59
sj;1992;12;18/03/1992;5305;8405;1417714;1345143;0;297947000000;29815;293709000000;3004;2955;356;775057000000;0;151357000000;27;261;785714000000;311;217;48
sj;1992;13;25/03/1992;0;0;1348429;1068;0;297219000000;297429000000;293579000000;3003;2958;210;802386000000;0;149686000000;28;262;571429000000;322;222;23
sj;1992;14;01/04/1992;9995;7765;1930667;1769;12227;297983000000;298071000000;293884000000;3002;2960;162;780671000000;12227;152643000000;274286000000;262286000000;752857000000;311;217;241
sj;1992;15;08/04/1992;1039;1315;1224714;1243857;4321;298683000000;298879000000;294196000000;3016;2959;111;763757000000;4321;156129000000;361429000000;269857000000;784286000000;328;217;0
sj;1992;16;15/04/1992;7515;9743333;1590286;1729857;8311;297831000000;2980;294943000000;3004;2966;706;841843000000;8311;163243000000;214286000000;268143000000;588571000000;317;228;245
sj;1992;17;22/04/1992;922;1137;1514143;1548286;3616;298089000000;298257000000;294049000000;3006;2965;258;784257000000;3616;154529000000;282857000000;266714000000;724286000000;317;222;46
sj;1992;18;29/04/1992;125;635;7031429;8944286;0;298197000000;298521000000;2934;3021;2956;40;749329000000;0;149;361429000000;273714000000;65;339;233;16
sj;1992;19;06/05/1992;10875;2169;1823286;2073571;1392;298336000000;298443000000;294221000000;3021;2960;450;7848;1392;1575;30;267857000000;691429000000;339;222;320
sj;1992;20;13/05/1992;101875;-88;1420667;1259;294;298334000000;298514000000;294276000000;3004;2964;275;783814000000;294;156871000000;222857000000;274429000000;595714000000;311;228;81
sj;1992;21;20/05/1992;1024;686;6238333;574;7185;298409000000;298557000000;295767000000;3010;2968;5705;856471000000;7185;172329000000;271429000000;278571000000;677143000000;328;233;221
sj;1992;22;27/05/1992;1215;0;2191571;2130143;18625;298616000000;29875;296334000000;3014;2970;1303;873014000000;18625;178329000000;235714000000;274286000000;595714000000;317;239;802
